Date,Open,High,Low,Close,Adj Close,Volume
29-09-2020,11288.6,11305.4,11181,11222.4,11222.4,498300
30-09-2020,11244.45,11295.4,11184.55,11247.55,11247.55,499300
01-10-2020,11364.45,11428.6,11347.05,11416.95,11416.95,447700
05-10-2020,11487.8,11578.05,11452.3,11503.35,11503.35,530600
06-10-2020,11603.45,11680.3,11564.3,11662.4,11662.4,561400
07-10-2020,11679.25,11763.05,11629.35,11738.85,11738.85,513400
08-10-2020,11835.4,11905.7,11791.15,11834.6,11834.6,608800
09-10-2020,11852.05,11938.6,11805.2,11914.2,11914.2,611100
12-10-2020,11973.55,12022.05,11867.2,11930.95,11930.95,522600
13-10-2020,11934.65,11988.2,11888.9,11934.5,11934.5,458300
14-10-2020,11917.4,11997.2,11822.15,11971.05,11971.05,569200
15-10-2020,12023.45,12025.45,11661.3,11680.35,11680.35,608900
16-10-2020,11727.4,11789.75,11667.85,11762.45,11762.45,555800
19-10-2020,11879.2,11898.25,11820.4,11873.05,11873.05,541400
20-10-2020,11861,11949.25,11837.25,11896.8,11896.8,453600
21-10-2020,11958.55,12018.65,11775.75,11937.65,11937.65,623700
22-10-2020,11890,11939.55,11823.45,11896.45,11896.45,544900
23-10-2020,11957.9,11974.55,11908.75,11930.35,11930.35,502300
26-10-2020,11937.4,11942.85,11711.7,11767.75,11767.75,519800
27-10-2020,11807.1,11899.05,11723,11889.4,11889.4,616300
28-10-2020,11922.6,11929.4,11684.85,11729.6,11729.6,704000
29-10-2020,11633.3,11744.15,11606.45,11670.8,11670.8,555000
30-10-2020,11678.45,11748.95,11535.45,11642.4,11642.4,553700
02-11-2020,11697.35,11725.65,11557.4,11669.15,11669.15,568400
03-11-2020,11734.45,11836.2,11723.3,11813.5,11813.5,674300
04-11-2020,11783.35,11929.65,11756.4,11908.5,11908.5,667300
05-11-2020,12062.4,12131.1,12027.6,12120.3,12120.3,632500
06-11-2020,12156.65,12280.4,12131.85,12263.55,12263.55,576800
09-11-2020,12399.4,12474.05,12367.35,12461.05,12461.05,553400
10-11-2020,12556.4,12643.9,12475.25,12631.1,12631.1,847500
11-11-2020,12680.6,12769.75,12571.1,12749.15,12749.15,880500
12-11-2020,12702.15,12741.15,12624.85,12690.8,12690.8,622000
13-11-2020,12659.7,12735.95,12607.7,12719.95,12719.95,513900
14-11-2020,null,null,null,null,null,null
17-11-2020,12932.5,12934.05,12797.1,12874.2,12874.2,707700
18-11-2020,12860.1,12948.85,12819.35,12938.25,12938.25,731300
19-11-2020,12839.5,12963,12745.75,12771.7,12771.7,768800
20-11-2020,12813.4,12892.45,12730.25,12859.05,12859.05,664000
23-11-2020,12960.3,12968.85,12825.7,12926.45,12926.45,633100
24-11-2020,13002.6,13079.1,12978,13055.15,13055.15,571900
25-11-2020,13130,13145.85,12833.65,12858.4,12858.4,679000
26-11-2020,12906.45,13018,12790.4,12987,12987,549800
27-11-2020,13012.05,13035.3,12914.3,12968.95,12968.95,1162400
01-12-2020,13062.2,13128.4,12962.8,13109.05,13109.05,583600
02-12-2020,13121.4,13128.5,12983.55,13113.75,13113.75,717700
03-12-2020,13215.3,13216.6,13107.9,13133.9,13133.9,713700
04-12-2020,13177.4,13280.05,13152.85,13258.55,13258.55,640500
07-12-2020,13264.85,13366.65,13241.95,13355.75,13355.75,591700
08-12-2020,13393.85,13435.45,13311.05,13392.95,13392.95,543200
09-12-2020,13458.1,13548.9,13449.6,13529.1,13529.1,502600
10-12-2020,13488.5,13503.55,13399.3,13478.3,13478.3,553400
11-12-2020,13512.3,13579.35,13402.85,13513.85,13513.85,787700
14-12-2020,13571.45,13597.5,13472.45,13558.15,13558.15,558400
15-12-2020,13547.2,13589.65,13447.05,13567.85,13567.85,497600
16-12-2020,13663.1,13692.35,13606.45,13682.7,13682.7,462200
17-12-2020,13713.55,13773.25,13673.55,13740.7,13740.7,416000
18-12-2020,13764.4,13772.85,13658.6,13760.55,13760.55,519400
21-12-2020,13741.9,13777.5,13131.45,13328.4,13328.4,687300
22-12-2020,13373.65,13492.05,13192.9,13466.3,13466.3,696200
